formula,Property $\beta$1,Property Zc,Property Zc units,Property Tl,Property Tl units,Property $\alpha$,Property 1/$\omega$,Property Tx/Tl,Property Dmax,Property Dmax units,Property Tm,Property Tm units,Property $\omega$,Property $\phi$,Property $\Delta$Trg,Property Rc,Property Rc units,Property Trg,Property $\delta$,Property Zmax,Property Zmax units,Property Tx,Property Tx units,Property Density,Property Density units,Property $\gamma$,Property Structure,Property Txg,Property Txg units,Property Tg/Tm,Property $\Delta$Tx,Property Tg,Property Tg units,Property $\beta$,Property R,Property $\gamma$m
Ca$_{40}$Mg$_{25}$Cu$_{35}$,2.922,,,680,K,0.64118,5.6959,0.641176471,4,mm,,,0.17556488,0.41762,0.13167,,,0.58676,1.5516,,,436,K,,,0.40408,,,,,37,399,K,1.6795,,0.69559
La$_{55}$Al$_{25}$Ni$_{5}$Cu$_{10}$Co$_{5}$,3.1989,,,822.5,K,0.65872,,0.658723404,,,,,0.13609,0.43699,0.21439,18.8,K/s,0.56559,1.5164,,,541.8,K,,,0.42075,,,,,76.6,465.2,K,1.7303,,0.75185
Ni$_{60}$Zr$_{20}$Ti$_{5}$Nb$_{10}$Al$_{5}$,3.1724,,,1379,K,0.6498,5.7914,0.649746193,2,mm,,,0.172669821,0.4209,0.1266,,,0.599,1.6203,,,896,K,,,0.4064,,,,,70,826,K,1.6837,,0.7005
Zr$_{54}$Cu$_{38}$Al$_{8}$,,,,1190,K,,,,,,,,0.179,,,,,0.581,,,,757,K,,,0.402,,,,,65,692,K,,,
Cu$_{38}$Zr$_{46}$Ag$_{8}$Al$_{8}$,4.4909,,,1145,K,0.6943,8.5442,0.694323144,20,mm,,,0.117038459,0.4603,0.2274,,,0.6044,1.755,,,795,K,,,0.4328,,,,,103,692,K,1.7532,,0.7843
Be$_{30}$Zr$_{70}$,,,,1393,K,,,0.465,,,,,0.334821154,,,,,0.44,,,,648,K,5.72,g/cm3,0.323,,,,,35,613,K,,0.709,
Ni$_{60}$Nb$_{20}$Zr$_{20}$,3.0401,,,1391,K,0.64055,5.0735,0.64054637,0.5,mm,,,0.197102592,0.39301,0.07063,,,0.61323,1.6561,,,891,K,,,0.39706,,,,,38,853,K,1.6578,,0.66786
Fe$_{74}$Mo$_{4}$Ga$_{2}$P$_{10}$C$_{4}$B$_{4}$Si$_{2}$,2.4765,,,1276,K,0.61919,4.9375,0.619122257,1.5,mm,,,0.202531646,0.39453,0.09331,,,0.58,1.4743,,,790,K,,,0.39189,,,,,50,740,K,1.6476,,0.65838
(Cu$_{0.5}$Zr$_{0.425}$Ti$_{0.075}$)$_{98.8}$Sn$_{0.6}$Si$_{0.6}$,3.022,,,1141,K,0.6433,5.5268,0.643295355,7,mm,,,0.180936527,0.4137,0.1133,,,0.5977,1.5991,,,734,K,,,0.4026,,,,,52,682,K,1.674,,0.6889
(Fe$_{0.75}$B$_{0.15}$Si$_{0.10}$)$_{99}$Zr,2.6293,,,1469,K,0.62539,4.9682,0.625595643,0.75,mm,,,0.201280142,0.39455,0.08631,,,0.59,1.5253,,,919,K,,,0.39332,,,,,52,867,K,1.65,,0.66077
Pd$_{81}$Si$_{19}$,,,,1128,K,,,0.616,,,,,0.192593439,,,,,0.562,,,,695,K,,,0.394,,,,,61,634,K,,0.775,
Zr$_{52.5}$Cu$_{17.9}$Ni$_{14.5}$Al$_{10}$Ti$_{5}$,,,,1091,K,,,,,,,,,,,,,0.606,,,,,,,,,,,,,,661,K,,,
Cu$_{43}$Zr$_{40}$Ag$_{7}$Ti$_{10}$,3.0808,,,1095,K,0.6457,5.5998,0.6456621,7,mm,,,0.178577806,0.4158,0.1162,,,0.5991,1.6105,,,707,K,,,0.4038,,,,,51,656,K,1.6768,,0.6922
Zr$_{55}$Al$_{20}$Co$_{25}$,3.8972,,,1245,K,0.6747,6.7922,0.674698795,2.5,mm,,,0.147227702,0.44212,0.16322,,,0.61124,1.7355,,,840,K,,,0.41874,,,,,79,761,K,1.7151,,0.73815
Zr$_{65}$Be$_{35}$,1.0262,,,1238,K,0.50323,,0.503231018,,,,,0.33047,0,0,1E7,K/s,0.50323,1.013,,,623,K,,,0.33477,,,,,0,623,K,1.5032,,0.50323
Mg$_{65}$Cu$_{20}$Ni$_{5}$Gd$_{10}$,,5,mm,786,K,,,0.611959288,,,,,,,,,,0.534351145,,,,481,K,,,0.398839138,,,,,,420,K,,,
La$_{68}$Al$_{14}$(CuNi)$_{18}$,,1,mm,724,K,,,0.595303867,,,,,0.188980086,,,,,0.559392265,,,,431,K,,,0.381753764,,,,,,405,K,,,
